Equipamento;Hora;Latitude;Longitude
7037;1900-01-01 14:32:01;-18.906426112;-49.487588247
7037;1900-01-01 14:33:01;-18.906511943;-49.486621857
7037;1900-01-01 14:34:01;-18.906578700;-49.485674540
7037;1900-01-01 14:34:18;-18.906585058;-49.485585531
7037;1900-01-01 14:34:22;-18.906585058;-49.485585531
7037;1900-01-01 14:34:28;-18.906585058;-49.485585531
7037;1900-01-01 14:39:02;-18.906562805;-49.485541026
7037;1900-01-01 14:39:11;-18.906518300;-49.485528310
7037;1900-01-01 14:39:13;-18.906524658;-49.485521952
7037;1900-01-01 14:39:57;-18.906534195;-49.485521952
7037;1900-01-01 14:39:59;-18.906534195;-49.485521952
7037;1900-01-01 14:43:37;-18.906518300;-49.485541026
7037;1900-01-01 14:44:01;-18.906486511;-49.485585531
7037;1900-01-01 14:44:09;-18.906483332;-49.485598246
7037;1900-01-01 14:45:26;-18.905955633;-49.486361186
7037;1900-01-01 14:48:19;-18.904547373;-49.487372080
7037;1900-01-01 14:49:55;-18.904900233;-49.486857096
7037;1900-01-01 14:51:20;-18.905596415;-49.486240387
7037;1900-01-01 14:52:55;-18.906149546;-49.485490163
7037;1900-01-01 14:54:31;-18.906496048;-49.484619141
7037;1900-01-01 14:54:43;-18.906499227;-49.484612783
7037;1900-01-01 14:54:44;-18.906502406;-49.484612783
7037;1900-01-01 14:56:34;-18.906597773;-49.483665466
7037;1900-01-01 14:58:02;-18.906461080;-49.482730865
7037;1900-01-01 14:59:33;-18.906225840;-49.481808980
7037;1900-01-01 15:01:04;-18.906057358;-49.480874379
7037;1900-01-01 15:02:44;-18.905942917;-49.479920705
7037;1900-01-01 15:04:36;-18.905787150;-49.478986104
7037;1900-01-01 15:04:57;-18.905771255;-49.478897095
7037;1900-01-01 15:04:58;-18.905771255;-49.478903453
7037;1900-01-01 15:06:00;-18.905672709;-49.478375753
7037;1900-01-01 15:06:01;-18.905672709;-49.478375753
7037;1900-01-01 15:06:07;-18.905669530;-49.478401184
7037;1900-01-01 15:06:08;-18.905669530;-49.478401184
7037;1900-01-01 15:06:19;-18.905669530;-49.478401184
7037;1900-01-01 15:06:25;-18.905666351;-49.478401184
7037;1900-01-01 15:10:07;-18.905650457;-49.478394826
7037;1900-01-01 15:10:39;-18.905644099;-49.478312174
7037;1900-01-01 15:10:40;-18.905644099;-49.478312174
7037;1900-01-01 15:10:59;-18.905621847;-49.478229523
7037;1900-01-01 15:11:15;-18.905625025;-49.478248596
7037;1900-01-01 15:11:19;-18.905621847;-49.478223165
7037;1900-01-01 15:13:43;-18.905466080;-49.477472941
7037;1900-01-01 15:14:04;-18.905634562;-49.477333069
7037;1900-01-01 15:14:07;-18.905628204;-49.477326711
